"Animal_ID","area","success","sample.size","failure","sex","body_mass_g"
1,"2",6,27,21,"M",22
1,"4",15,27,12,"M",22
1,"5",6,27,21,"M",22
2,"4",18,38,20,"F",21
2,"6",14,38,24,"F",21
2,"7",5,38,33,"F",21
2,"8",1,38,37,"F",21
3,"4",24,32,8,"F",22
3,"5",2,32,30,"F",22
3,"6",3,32,29,"F",22
3,"9",3,32,29,"F",22
4,"1",102,110,8,"M",22
4,"4",6,110,104,"M",22
4,"5",1,110,109,"M",22
4,"9",1,110,109,"M",22
5,"1",116,123,7,"M",20
5,"4",1,123,122,"M",20
5,"9",6,123,117,"M",20
6,"3",48,51,3,"F",22
6,"4",3,51,48,"F",22
7,"9",18,18,0,"M",21
8,"4",57,57,0,"F",20
9,"4",9,17,8,"F",22
9,"7",4,17,13,"F",22
9,"8",4,17,13,"F",22
10,"4",13,93,80,"F",21
10,"5",4,93,89,"F",21
10,"6",1,93,92,"F",21
10,"7",41,93,52,"F",21
10,"8",34,93,59,"F",21
