"Animal_ID","polygon","success","sample.size","failure","sex","body_mass_g"
1,"18",1,36,35,"M",22
1,"19",15,36,21,"M",22
1,"21",6,36,30,"M",22
1,"22",1,36,35,"M",22
1,"80",1,36,35,"M",22
1,"97",6,36,30,"M",22
1,"98",6,36,30,"M",22
2,"15",1,83,82,"F",21
2,"18",17,83,66,"F",21
2,"19",18,83,65,"F",21
2,"20",20,83,63,"F",21
2,"27",1,83,82,"F",21
2,"46",4,83,79,"F",21
2,"80",20,83,63,"F",21
2,"93",1,83,82,"F",21
2,"99",1,83,82,"F",21
3,"19",24,34,10,"F",22
3,"20",3,34,31,"F",22
3,"21",2,34,32,"F",22
3,"22",1,34,33,"F",22
3,"5",3,34,31,"F",22
3,"80",1,34,33,"F",22
4,"10",3,118,115,"M",22
4,"11",1,118,117,"M",22
4,"12",105,118,13,"M",22
4,"19",6,118,112,"M",22
4,"21",1,118,117,"M",22
4,"22",1,118,117,"M",22
4,"5",1,118,117,"M",22
5,"10",24,163,139,"M",20
5,"12",127,163,36,"M",20
5,"19",1,163,162,"M",20
5,"5",6,163,157,"M",20
5,"62",1,163,162,"M",20
5,"69",1,163,162,"M",20
5,"82",1,163,162,"M",20
5,"88",2,163,161,"M",20
6,"12",5,76,71,"F",22
6,"14",2,76,74,"F",22
6,"19",3,76,73,"F",22
6,"23",45,76,31,"F",22
6,"26",1,76,75,"F",22
6,"28",15,76,61,"F",22
6,"88",5,76,71,"F",22
7,"12",3,22,19,"M",21
7,"5",18,22,4,"M",21
7,"96",1,22,21,"M",21
8,"12",3,64,61,"F",20
8,"19",57,64,7,"F",20
8,"22",2,64,62,"F",20
8,"80",2,64,62,"F",20
9,"15",4,36,32,"F",22
9,"18",4,36,32,"F",22
9,"19",9,36,27,"F",22
9,"22",1,36,35,"F",22
9,"32",2,36,34,"F",22
9,"33",1,36,35,"F",22
9,"35",1,36,35,"F",22
9,"52",3,36,33,"F",22
9,"62",8,36,28,"F",22
9,"80",3,36,33,"F",22
10,"15",34,110,76,"F",21
10,"18",42,110,68,"F",21
10,"19",13,110,97,"F",21
10,"20",1,110,109,"F",21
10,"21",4,110,106,"F",21
10,"32",5,110,105,"F",21
10,"33",1,110,109,"F",21
10,"80",9,110,101,"F",21
10,"93",1,110,109,"F",21
